Degree,Strength,Clustering Coefficient,Betweenness Centrality,Eigenvector Centrality,PageRank,Average Path Length,Maximum Path Length
3,399.0,1.00000000,0.00000000,0.00000562,0.00013174,5.19872858,13
2,54.0,1.00000000,0.00000000,0.00000036,0.00011721,6.08126036,14
1,288.0,0.00000000,0.00000000,0.00004907,0.00007177,4.62631288,12
2,96.0,1.00000000,0.00000000,0.00004997,0.00005911,4.62603648,12
9,8903.0,0.72222222,0.00000033,0.00813260,0.00009874,4.03703704,12
5,7791.5,0.80000000,0.00000005,0.00643698,0.00012323,3.68352681,11
8,3146.0,0.71428571,0.00016255,0.00203501,0.00011199,4.08761747,11
1,267.0,0.00000000,0.00000000,0.00061325,0.00004734,4.48839138,12
2,714.0,1.00000000,0.00000000,0.00020577,0.00007447,4.38308458,11
2,600.0,1.00000000,0.00000000,0.00155997,0.00009348,4.07131012,12
5,11357.0,0.60000000,0.00001827,0.00060529,0.00020557,4.32310669,12
1,150.0,0.00000000,0.00000000,0.00014900,0.00004330,4.61912659,12
1,16.0,0.00000000,0.00000000,0.00000505,0.00004416,5.21227197,13
1,468.0,0.00000000,0.00000000,0.00028608,0.00005827,4.66169154,12
2,228.0,0.00000000,0.00000046,0.00000000,0.00025446,7.73134328,13
2,195.0,0.00000000,0.00000015,0.00000009,0.00017948,6.19347706,14
3,12194.0,0.66666667,0.00000001,0.00266788,0.00013890,3.77501382,11
44,130494.0,0.17230444,0.01955260,0.01154406,0.00341965,3.25179657,10
6,1079.0,0.13333333,0.00276646,0.00028897,0.00039913,4.20895522,12
3,179.0,1.00000000,0.00000000,0.00002677,0.00010730,4.89469320,13
1,206.0,0.00000000,0.00000000,0.00000419,0.00021140,5.28385849,10
1,38.0,0.00000000,0.00000000,0.00000222,0.00008564,5.67910448,13
2,300.0,0.00000000,0.00027620,0.00000041,0.00027322,6.04311774,14
1,200.0,0.00000000,0.00000000,0.00047445,0.00004708,4.28496407,12
3,823.0,1.00000000,0.00000000,0.00009931,0.00008653,4.61304588,11
29,16207.0,0.30788177,0.00284894,0.02671549,0.00053532,3.28551686,11
23,49537.0,0.73913043,0.00033824,0.02807711,0.00038680,3.57048093,12
35,37603.5,0.63529412,0.00009083,0.05014620,0.00038704,3.48148148,11
6,4263.0,0.60000000,0.00032213,0.00002258,0.00021452,5.26782753,13
56,59255.5,0.19350649,0.01042056,0.04143097,0.00176046,3.44665561,11
2,800.0,1.00000000,0.00000000,0.00016019,0.00006673,4.36954118,11
1,60.0,0.00000000,0.00000000,0.00000007,0.00013016,6.42399116,14
2,456.0,1.00000000,0.00000000,0.00052507,0.00008024,4.42122720,12
4,3103.0,0.50000000,0.00030188,0.00522316,0.00009124,3.78385849,12
15,6972.0,0.81904762,0.00000227,0.02770683,0.00014373,3.49585406,11
1,361.0,0.00000000,0.00000000,0.00122371,0.00004438,4.18518519,12
2,1184.0,1.00000000,0.00000000,0.00119455,0.00005527,3.97927032,12
5,16119.0,1.00000000,0.00000000,0.00644692,0.00015251,3.88640133,12
9,13646.0,0.52777778,0.00000969,0.00322074,0.00026486,4.01741294,11
2,72.0,0.00000000,0.00055294,0.00033822,0.00012414,4.43200663,12
6,3552.0,0.40000000,0.00061733,0.00115034,0.00014759,3.91735766,10
50,38564.0,0.42285714,0.00082923,0.05742421,0.00060572,3.33360973,11
2,722.5,1.00000000,0.00000000,0.00002541,0.00007374,4.90878939,11
192,481335.0,0.14283377,0.04049213,0.17145160,0.00538375,2.73134328,10
1,40.0,0.00000000,0.00000000,0.00000097,0.00004848,5.86898839,13
2,57.0,0.00000000,0.00054971,0.00010492,0.00009396,4.58402432,12
39,69539.0,0.07962213,0.08152333,0.01567684,0.00531268,3.21669431,11
1,171.0,0.00000000,0.00000000,0.00038005,0.00004505,4.54532891,12
5,23297.5,0.50000000,0.00000084,0.00034016,0.00048165,4.49253731,13
1,171.0,0.00000000,0.00000000,0.00038005,0.00004505,4.54532891,12
