Airport,Degree,Strength,Clustering Coefficient,Average Path Length,Maximum Path Length,Betweenness,Eigenvector Centrality,PageRank
ETH,4,14173.5,0.66666667,3.82946379,11,0.00002076,0.00358144,0.00024070
ETZ,8,3984.5,0.92857143,3.68269762,11,0.00000483,0.00775448,0.00008386
EUA,1,114.0,0.00000000,4.93090105,12,0.00000000,0.00002137,0.00005101
EUG,6,14763.0,1.00000000,3.64787175,11,0.00000000,0.00760846,0.00016324
EUN,4,1099.0,0.50000000,4.24350470,12,0.00001673,0.00194218,0.00008477
EUX,2,820.0,1.00000000,4.42426755,12,0.00000000,0.00033020,0.00006051
EVE,5,9597.0,0.90000000,4.27667219,12,0.00000012,0.00114224,0.00018628
EVG,1,270.0,0.00000000,5.07048093,13,0.00000000,0.00002722,0.00009478
EVN,38,8623.5,0.31578947,3.44859038,11,0.00061365,0.03334769,0.00023256
EVV,10,9043.0,0.71111111,3.71282477,12,0.00007971,0.01260319,0.00011197
EWB,2,414.0,1.00000000,4.70011056,13,0.00000000,0.00013814,0.00005698
EWN,2,2403.0,1.00000000,4.14953013,12,0.00000000,0.00234330,0.00005725
EXI,1,5.0,0.00000000,4.90685462,13,0.00000000,0.00002604,0.00004194
EXM,1,20.0,0.00000000,5.36594804,12,0.00000000,0.00000297,0.00004250
EXT,4,2050.0,0.66666667,4.17164179,12,0.00000019,0.00285296,0.00006413
EYL,2,96.0,1.00000000,4.64566059,12,0.00000000,0.00012758,0.00007543
EYP,1,928.5,0.00000000,4.26561636,12,0.00000000,0.00049542,0.00005990
EYW,6,7889.5,0.86666667,3.96904367,12,0.00000040,0.00592637,0.00010995
EZS,2,751.0,1.00000000,3.97733554,12,0.00000000,0.00251840,0.00005640
FAE,3,1702.0,0.66666667,3.89358762,11,0.00000341,0.00259011,0.00006356
FAI,34,14880.0,0.04991087,3.89579878,12,0.01989133,0.00145277,0.00203823
FAJ,3,522.0,0.66666667,4.58706468,13,0.00000010,0.00031638,0.00006982
FAO,22,19280.5,0.65800866,3.52736318,11,0.00001986,0.03246605,0.00022351
FAR,3,8323.0,1.00000000,3.77473742,12,0.00000000,0.00506010,0.00010687
FAT,10,17362.5,0.86666667,3.60724157,11,0.00003597,0.01116466,0.00017465
FAV,2,138.0,1.00000000,4.51575456,12,0.00000000,0.00008981,0.00005451
FAY,2,5086.0,1.00000000,3.91072416,12,0.00000000,0.00356741,0.00007546
FBM,6,1890.0,0.46666667,3.99004975,11,0.00012751,0.00129794,0.00017207
FCA,7,5817.0,0.85714286,3.97014925,12,0.00000026,0.00245766,0.00012037
FDE,2,1369.0,1.00000000,4.28468767,12,0.00000000,0.00124808,0.00005771
FDF,14,21722.0,0.28571429,3.62935323,11,0.00114684,0.00630123,0.00039010
FDH,12,4562.0,0.96969697,3.65948038,11,0.00000002,0.01796816,0.00008293
FEG,2,1510.0,1.00000000,4.19707020,12,0.00000000,0.00076394,0.00008196
FEJ,1,57.0,0.00000000,5.89552239,14,0.00000000,0.00000228,0.00004428
FEN,3,1783.0,1.00000000,4.56882255,12,0.00000000,0.00027173,0.00006760
FEZ,2,1390.5,1.00000000,3.68407960,11,0.00000000,0.00410920,0.00006060
FHU,1,361.0,0.00000000,4.18629077,12,0.00000000,0.00127277,0.00004383
FIE,1,40.0,0.00000000,5.48313986,13,0.00000000,0.00001348,0.00004477
FIH,20,7483.0,0.28421053,3.73106689,11,0.00347502,0.00668468,0.00051956
FIN,1,16.0,0.00000000,7.72388060,13,0.00000000,0.00000000,0.00013179
FIZ,2,120.0,0.00000000,5.33112217,12,0.00124781,0.00000652,0.00022305
FJR,7,674.0,0.71428571,4.13543394,11,0.00000050,0.00255143,0.00005508
FKB,1,468.0,0.00000000,4.33554450,12,0.00000000,0.00170076,0.00004561
FKL,2,475.0,1.00000000,4.14593698,12,0.00000000,0.00144842,0.00004571
FKS,6,10016.0,0.93333333,3.77833057,11,0.00000025,0.00313336,0.00012049
FLA,1,885.0,0.00000000,5.26229961,13,0.00000000,0.00000988,0.00008486
FLG,1,1559.0,0.00000000,4.18629077,12,0.00000000,0.00127277,0.00005171
FLL,56,207385.5,0.39415584,3.26589276,11,0.00236353,0.05377884,0.00162373
FLN,8,20308.0,0.46428571,4.02791598,12,0.00004315,0.00172743,0.00037117
FLO,2,2438.0,1.00000000,3.91072416,12,0.00000000,0.00356741,0.00005773
FLR,20,40191.5,0.60526316,3.50359315,11,0.00004507,0.03132061,0.00041701
FLS,3,459.0,1.00000000,4.29546711,11,0.00000000,0.00016202,0.00006191
FLW,3,374.0,0.66666667,5.24488668,13,0.00000028,0.00004223,0.00008142
FMA,2,1596.0,1.00000000,4.10668878,12,0.00000000,0.00065611,0.00009390
FMN,3,2166.0,1.00000000,4.13294638,12,0.00000000,0.00301222,0.00005882
FMO,22,18785.0,0.74458874,3.51022664,11,0.00000985,0.03215502,0.00021322
FMY,26,59885.0,0.78461538,3.36511885,11,0.00009991,0.03975357,0.00045267
FNA,5,978.0,0.70000000,4.30292980,12,0.00000060,0.00170596,0.00006656
FNC,17,15040.0,0.65441176,3.50138198,11,0.00028455,0.02786176,0.00023062
FNI,2,4516.0,1.00000000,3.57960199,11,0.00000000,0.00676075,0.00008716
FNJ,6,1024.0,0.46666667,3.68131564,11,0.00001053,0.00470608,0.00005586
FNT,8,10091.5,0.82142857,3.75925926,12,0.00000403,0.00927183,0.00010936
FOC,28,38258.0,0.63756614,3.75124378,11,0.00000966,0.00562581,0.00044855
FOD,1,884.0,0.00000000,5.04505252,13,0.00000000,0.00002458,0.00009730
FOG,4,788.0,0.50000000,3.76395799,11,0.00055294,0.00474553,0.00009739
FON,1,63.0,0.00000000,4.56246545,13,0.00000000,0.00030712,0.00004283
FOR,16,36180.0,0.34166667,3.66943062,11,0.00239895,0.00733979,0.00067896
FPO,10,13428.5,0.80000000,3.95245992,12,0.00000405,0.01054742,0.00020178
FRA,237,697513.5,0.11696346,2.68214483,10,0.06557771,0.19554603,0.00770430
FRB,2,216.0,0.00000000,5.23079049,12,0.00055294,0.00000516,0.00023003
FRC,2,700.0,1.00000000,4.09812051,12,0.00000000,0.00095660,0.00006257
FRD,7,1711.0,0.42857143,3.97678275,12,0.00073729,0.00122932,0.00022245
FRE,1,37.0,0.00000000,5.28385849,10,0.00000000,0.00000419,0.00007198
FRO,2,2712.0,1.00000000,4.28468767,12,0.00000000,0.00124808,0.00007344
FRS,4,3251.0,0.33333333,4.18822554,12,0.00003658,0.00126925,0.00009358
FRU,17,5637.0,0.39705882,3.65699281,11,0.00014818,0.01108458,0.00018520
FRW,1,294.0,0.00000000,5.00138198,12,0.00000000,0.00002192,0.00005330
FSC,3,2146.0,0.66666667,3.68490879,11,0.00000001,0.00511014,0.00006392
FSD,4,11421.0,1.00000000,3.77169707,12,0.00000000,0.00644396,0.00012804
FSM,2,4124.0,1.00000000,3.94831399,12,0.00000000,0.00281953,0.00006908
FSP,5,330.0,0.60000000,4.05859591,12,0.00003483,0.00168429,0.00004878
FTA,3,27.0,0.66666667,6.07241570,12,0.00000008,0.00000035,0.00009623
FTU,4,957.0,0.33333333,4.58457711,12,0.00027676,0.00010875,0.00022833
FUE,26,22822.0,0.65846154,3.58789386,11,0.00001725,0.02951864,0.00025096
FUG,1,290.0,0.00000000,4.75566611,12,0.00000000,0.00008685,0.00004592
FUJ,2,3528.0,0.00000000,4.46130459,11,0.00000002,0.00030364,0.00006848
FUK,41,252042.0,0.27439024,3.46241017,10,0.00158578,0.01241609,0.00217700
FUN,1,60.0,0.00000000,5.41625207,12,0.00000000,0.00000238,0.00005615
FUT,1,95.0,0.00000000,5.39441680,12,0.00000000,0.00000441,0.00005599
FVL,2,5.0,0.00000000,7.32476506,14,0.00000076,0.00000000,0.00010229
FWA,10,14313.0,1.00000000,3.65257048,12,0.00000000,0.01635663,0.00013622
FYU,6,737.0,0.46666667,4.89331122,13,0.00046076,0.00002729,0.00026917
FYV,7,14024.0,1.00000000,3.72305141,12,0.00000000,0.01008542,0.00013421
GAF,2,140.0,1.00000000,4.37009397,12,0.00000000,0.00178338,0.00004337
GAJ,4,6524.0,0.83333333,3.77473742,11,0.00000001,0.00283333,0.00009321
GAL,9,1049.0,0.41666667,4.19955777,12,0.00139523,0.00031224,0.00031140
GAM,3,439.0,0.66666667,5.20204533,13,0.00000008,0.00000536,0.00016492
GAN,2,592.0,1.00000000,4.44693201,11,0.00000000,0.00039888,0.00006145
GAO,1,288.0,0.00000000,4.19762300,12,0.00000000,0.00076451,0.00004698
GAQ,1,97.5,0.00000000,6.64234384,14,0.00000000,0.00000004,0.00013716
GAR,3,32.0,0.00000000,5.72222222,11,0.00001651,0.00000061,0.00013723
GAU,6,8437.0,0.40000000,4.11000553,11,0.00004536,0.00103823,0.00028019
GAX,1,148.0,0.00000000,5.50000000,13,0.00000000,0.00000521,0.00005583
GBD,2,380.0,1.00000000,4.38170260,12,0.00000000,0.00097819,0.00006035
GBE,4,3895.0,0.33333333,4.00193477,11,0.00055358,0.00123435,0.00018418
GBJ,1,361.0,0.00000000,4.55306799,12,0.00000000,0.00014689,0.00004782
GBL,2,72.0,1.00000000,4.76838032,11,0.00000000,0.00005385,0.00007536
GCC,1,570.0,0.00000000,4.18518519,12,0.00000000,0.00122371,0.00004608
GCI,11,12055.0,0.47272727,3.59369818,11,0.00019648,0.01318160,0.00019961
GCK,4,722.0,0.66666667,4.18076285,12,0.00000590,0.00220339,0.00008146
GCM,12,14569.0,0.51515152,3.81840796,12,0.00294345,0.01263078,0.00023415
GCN,2,590.0,0.00000000,4.12382532,12,0.00055294,0.00122284,0.00008326
GDE,4,300.0,0.66666667,5.42647872,13,0.00000015,0.00000797,0.00015209
GDL,37,103151.0,0.29129129,3.54394693,11,0.00079499,0.01949645,0.00109286
GDN,5,4959.0,1.00000000,3.59397457,11,0.00000000,0.01049987,0.00009268
GDQ,5,1540.0,0.50000000,4.43034826,12,0.00055293,0.00035737,0.00027771
GDT,4,1551.5,0.33333333,4.65505804,13,0.00055332,0.00013846,0.00020719
GDV,2,351.5,0.00000000,5.89883914,14,0.00000011,0.00000385,0.00011512
GDX,5,1678.0,0.30000000,3.87313433,11,0.00064903,0.00226896,0.00014550
GDZ,2,288.0,1.00000000,3.87672747,11,0.00000000,0.00218965,0.00004933
GEG,16,47121.0,0.66666667,3.61055832,11,0.00004938,0.01391362,0.00048684
GEL,2,510.0,1.00000000,5.00967385,13,0.00000000,0.00004651,0.00009018
GEO,4,5423.0,0.66666667,3.70287452,12,0.00000505,0.00344065,0.00010412
GER,1,1008.0,0.00000000,4.19762300,12,0.00000000,0.00076451,0.00006078
GES,2,2793.0,1.00000000,4.11885019,10,0.00000000,0.00053546,0.00008144
GET,5,1483.0,0.50000000,4.36705362,11,0.00165800,0.00016614,0.00018669
GEV,3,1030.0,1.00000000,4.07048093,12,0.00000000,0.00159088,0.00005634
GEW,2,8.0,0.00000000,6.73493643,12,0.00027647,0.00000001,0.00017302
GFF,4,1210.0,0.50000000,4.23327805,11,0.00000023,0.00030898,0.00010893
GFK,2,3604.0,0.00000000,4.04560531,12,0.00027627,0.00138386,0.00009359
GFN,2,720.0,1.00000000,4.23383085,11,0.00000000,0.00029945,0.00006755
GGG,1,1190.0,0.00000000,3.95936982,12,0.00000000,0.00177431,0.00004932
GGS,4,60.0,0.00000000,6.09176341,14,0.00000146,0.00000068,0.00016017
GGT,3,821.5,1.00000000,4.00000000,12,0.00000000,0.00311140,0.00005498
GGW,2,287.5,1.00000000,4.90077391,13,0.00000000,0.00008655,0.00009402
GHA,9,3019.0,0.52777778,4.44333886,12,0.00000116,0.00100311,0.00017269
GHB,4,1134.5,1.00000000,3.99972360,12,0.00000000,0.00316786,0.00006520
GHE,2,57.0,1.00000000,4.37700387,12,0.00000000,0.00038809,0.00007324
GHT,1,132.0,0.00000000,5.02791598,12,0.00000000,0.00004752,0.00004955
GIB,1,1860.0,0.00000000,3.63460475,11,0.00000000,0.00355878,0.00005828
GIC,3,105.0,0.66666667,5.45743505,11,0.00000018,0.00000166,0.00009001
GIL,1,792.0,0.00000000,4.23770039,11,0.00000000,0.00057130,0.00005735
GIS,2,1168.5,1.00000000,4.24986180,11,0.00000000,0.00022437,0.00006774
GIZ,8,7665.0,0.64285714,4.08485351,11,0.00019340,0.00227606,0.00017724
GJA,1,756.0,0.00000000,5.80099502,14,0.00000000,0.00000839,0.00009669
GJL,1,1278.0,0.00000000,4.44610282,12,0.00000000,0.00073577,0.00007376
GJM,2,190.0,0.00000000,5.08181316,13,0.00055294,0.00001902,0.00012651
GJT,3,4454.0,1.00000000,4.09231620,12,0.00000000,0.00330819,0.00007644
GKA,4,2012.0,1.00000000,4.73742399,10,0.00000000,0.00003152,0.00064010
GLA,36,91377.5,0.29682540,3.35986733,11,0.00332637,0.03390689,0.00111238
GLF,1,189.0,0.00000000,4.56246545,13,0.00000000,0.00030712,0.00004558
GLH,2,1049.0,1.00000000,4.27446103,12,0.00000000,0.00119506,0.00005079
GLI,3,342.0,1.00000000,5.18242123,11,0.00000000,0.00001437,0.00005841
GLT,3,2504.0,1.00000000,4.33609729,10,0.00000000,0.00021119,0.00011314
GLV,2,555.0,0.00000000,6.20011056,14,0.00000008,0.00000019,0.00021739
GMB,1,150.0,0.00000000,5.42813709,13,0.00000000,0.00000623,0.00009234
GMI,2,18.0,1.00000000,5.72802653,11,0.00000000,0.00000057,0.00005144
GMR,2,66.0,1.00000000,4.51575456,12,0.00000000,0.00008972,0.00005816
GNB,1,2398.0,0.00000000,3.68711996,11,0.00000000,0.00320197,0.00006680
GND,10,7601.0,0.64444444,3.50165837,11,0.00008072,0.00843583,0.00015037
GNI,1,532.0,0.00000000,5.06495301,12,0.00000000,0.00000957,0.00004790
GNU,2,126.0,0.00000000,5.19513543,13,0.00027617,0.00000519,0.00011426
GNV,2,3840.0,1.00000000,3.91072416,12,0.00000000,0.00356741,0.00006644
GOA,12,16062.0,0.56060606,3.54394693,11,0.00002282,0.01813339,0.00018976
GOB,2,200.0,0.00000000,4.43200663,12,0.00055294,0.00033822,0.00013074
GOE,3,388.5,0.33333333,6.72249862,12,0.00000186,0.00000003,0.00024656
GOH,4,1144.0,0.50000000,4.88308458,12,0.00001762,0.00006743,0.00031473
GOI,8,10366.0,0.50000000,4.05113322,11,0.00000726,0.00264995,0.00020673
GOJ,7,1568.0,0.52380952,3.61166390,11,0.00003872,0.00654588,0.00008318
GOM,2,68.0,0.00000000,4.90934218,13,0.00110558,0.00005418,0.00013342
GON,1,494.0,0.00000000,4.12216694,12,0.00000000,0.00158951,0.00004466
GOR,3,126.0,1.00000000,4.43034826,12,0.00000000,0.00035058,0.00009396
GOT,26,66730.5,0.57230769,3.46683250,11,0.00027162,0.03924047,0.00077646
GOU,2,519.0,1.00000000,4.63681592,12,0.00000000,0.00012076,0.00007899
GOV,5,2264.0,0.40000000,4.43532338,10,0.00103579,0.00014385,0.00021070
GPB,2,360.0,0.00000000,5.08319514,13,0.00000235,0.00002786,0.00008350
GPI,1,54.0,0.00000000,4.99585406,13,0.00000000,0.00004940,0.00004272
GPN,2,156.0,1.00000000,4.76838032,11,0.00000000,0.00005385,0.00007916
GPO,2,276.0,1.00000000,4.10668878,12,0.00000000,0.00065611,0.00005423
GPT,8,11821.0,0.71428571,3.67330017,12,0.00010384,0.01086707,0.00012907
GPZ,1,714.0,0.00000000,5.04505252,13,0.00000000,0.00002458,0.00008085
GRB,8,13924.5,0.85714286,3.76312880,12,0.00000031,0.00828439,0.00014092
GRI,5,864.5,0.40000000,4.18352681,12,0.00055317,0.00129139,0.00015141
GRJ,4,4327.0,1.00000000,4.00690989,11,0.00000000,0.00126960,0.00012873
GRL,3,32.0,0.00000000,5.72996130,11,0.00028242,0.00000055,0.00015253
GRO,1,550.0,0.00000000,4.06274185,12,0.00000000,0.00190778,0.00004628
GRR,19,34351.5,0.83040936,3.55776672,12,0.00001490,0.02588304,0.00027529
GRW,1,452.0,0.00000000,5.24571587,13,0.00000000,0.00002094,0.00006510
GRX,3,6376.0,1.00000000,4.04809287,12,0.00000000,0.00440577,0.00009569
GRY,1,57.0,0.00000000,5.32089552,13,0.00000000,0.00000884,0.00004501
GRZ,9,9226.0,0.75000000,3.65754561,11,0.00000036,0.01370728,0.00013243
GSO,17,54473.0,0.95588235,3.57904920,12,0.00000113,0.02702213,0.00039920
GSP,15,35099.5,0.90476190,3.57932559,12,0.00001108,0.02389798,0.00027224
GST,1,195.0,0.00000000,4.90685462,13,0.00000000,0.00002604,0.00006037
GTE,4,306.0,0.50000000,4.43587617,10,0.00100486,0.00014379,0.00011356
GTF,8,7314.0,0.82142857,3.91487009,12,0.00000435,0.00381651,0.00014376
GUA,17,29702.5,0.48529412,3.46545053,11,0.00122418,0.01573571,0.00049825
GUB,1,76.0,0.00000000,4.63709232,12,0.00000000,0.00015750,0.00004228
GUC,1,651.0,0.00000000,4.18518519,12,0.00000000,0.00122371,0.00004673
GUD,2,113.0,1.00000000,5.64317302,13,0.00000000,0.00000227,0.00012988
GUH,2,192.0,0.00000000,4.23355445,11,0.00055294,0.00029023,0.00012344
GUI,2,168.0,0.00000000,5.26616915,13,0.00000010,0.00002660,0.00005591
GUM,22,41121.0,0.32467532,3.54505252,10,0.00297876,0.00705826,0.00061073
GUP,1,342.0,0.00000000,4.42150359,12,0.00000000,0.00051574,0.00004438
GUR,9,668.5,0.16666667,4.73742399,10,0.00442560,0.00003298,0.00047434
GUW,3,728.0,0.33333333,4.06882255,12,0.00000023,0.00295643,0.00005860
GVA,63,125264.5,0.43215566,3.23742399,11,0.00049672,0.08246874,0.00131427
GVI,2,114.0,0.00000000,6.73217247,12,0.00000107,0.00000002,0.00011999
GVR,4,1200.0,0.33333333,4.09701493,12,0.00062035,0.00097051,0.00012753
GWD,7,748.0,0.57142857,4.26920951,11,0.00001350,0.00109183,0.00009946
GWL,2,476.0,1.00000000,4.11995578,11,0.00000000,0.00083528,0.00005393
GWT,3,218.0,0.66666667,4.14372582,12,0.00000001,0.00392710,0.00004353
GWY,1,1360.0,0.00000000,4.19264787,12,0.00000000,0.00113700,0.00005379
GXF,5,882.0,0.80000000,4.05693753,11,0.00001948,0.00238721,0.00007297
GYA,2,695.5,1.00000000,5.84742952,14,0.00000000,0.00000215,0.00015348
GYE,14,19152.5,0.67032967,3.58595909,12,0.00020047,0.01193333,0.00034561
GYI,2,66.5,1.00000000,4.75981205,12,0.00000000,0.00007427,0.00006202
GYL,2,73.0,1.00000000,4.36760641,11,0.00000000,0.00016130,0.00005022
GYM,3,1725.0,0.66666667,4.18131564,12,0.00000040,0.00149655,0.00005821
GYN,7,18180.0,0.57142857,4.08761747,12,0.00000461,0.00108153,0.00035021
GYS,1,290.0,0.00000000,4.31509121,11,0.00000000,0.00027172,0.00004479
GZA,10,3010.0,0.64444444,3.70425650,11,0.00001670,0.01154258,0.00009139
GZM,1,1095.0,0.00000000,4.37092316,12,0.00000000,0.00116808,0.00005558
GZO,7,380.0,0.28571429,5.28137092,10,0.00165815,0.00000442,0.00050151
GZT,2,3115.0,1.00000000,3.97733554,12,0.00000000,0.00251840,0.00009499
HAA,2,407.0,1.00000000,5.26920951,13,0.00000000,0.00002174,0.00006292
HAC,1,3528.0,0.00000000,3.79878386,11,0.00000000,0.00133616,0.00006957
HAD,1,3593.0,0.00000000,4.07158651,12,0.00000000,0.00153227,0.00008438
HAE,1,30.0,0.00000000,5.12327253,13,0.00000000,0.00002173,0.00004506
HAJ,65,67806.0,0.34711538,3.37949143,11,0.00106319,0.07085521,0.00078051
HAK,37,57961.5,0.48048048,3.74654505,11,0.00009131,0.00620236,0.00070427
HAM,77,157365.0,0.32877649,3.37755666,11,0.00374944,0.08106991,0.00169927
HAN,17,24370.0,0.34558824,3.47650636,10,0.00233609,0.00952402,0.00053284
HAQ,1,367.0,0.00000000,4.44720840,11,0.00000000,0.00039179,0.00004910
HAR,15,24960.5,0.98095238,3.57766722,12,0.00000047,0.02451440,0.00021210
HAS,10,5840.0,0.60000000,4.08706468,11,0.00016647,0.00206815,0.00017781
HAU,6,6383.0,0.46666667,4.27169707,12,0.00001033,0.00216755,0.00011954
HAV,51,35932.0,0.20705882,3.19817579,11,0.00636070,0.04304398,0.00081049
HBA,3,14761.0,1.00000000,4.21310116,11,0.00000000,0.00044913,0.00031915
HBE,14,6439.5,0.68131868,3.51299060,11,0.00000911,0.01772287,0.00013053
HBT,1,102.0,0.00000000,4.13985627,11,0.00000000,0.00076022,0.00004308
HCQ,3,65.0,0.00000000,6.32780542,13,0.00069708,0.00000012,0.00022509
HCR,2,97.0,0.00000000,5.20702045,13,0.00055264,0.00000506,0.00015128
HDS,2,700.0,1.00000000,4.01188502,11,0.00000000,0.00102270,0.00007609
HDY,4,12071.0,1.00000000,3.86677722,10,0.00000000,0.00326510,0.00018867
HEH,9,5651.0,0.36111111,4.61000553,11,0.00027929,0.00010962,0.00044560
HEL,64,184418.5,0.23809524,3.13018242,11,0.01076646,0.06256634,0.00271928
HER,19,22404.5,0.64912281,3.56218905,11,0.00001895,0.02581841,0.00032232
HET,8,6202.5,0.46428571,3.95273632,11,0.00001568,0.00223738,0.00015712
HFA,5,1525.0,0.50000000,4.05223881,12,0.00000061,0.00188612,0.00006470
HFD,35,112087.0,0.78151261,3.39110006,11,0.00007231,0.04629295,0.00078108
HFE,20,10771.0,0.74210526,3.75621891,11,0.00055526,0.00489020,0.00019502
HFN,1,274.0,0.00000000,4.32365948,12,0.00000000,0.00047952,0.00004851
HFS,2,380.0,0.00000000,4.07103372,12,0.00055294,0.00153275,0.00012396
HFT,8,2516.0,0.32142857,5.26755113,13,0.00115082,0.00002258,0.00023187
HGA,7,871.0,0.38095238,4.37396352,12,0.00005906,0.00095876,0.00015175
HGD,2,114.0,0.00000000,5.31868436,11,0.00032817,0.00000534,0.00009768
HGH,28,44807.0,0.63227513,3.75041459,11,0.00002270,0.00514577,0.00052733
HGL,1,112.0,0.00000000,5.37479270,13,0.00000000,0.00002558,0.00015387
HGN,1,3129.0,0.00000000,4.66279713,11,0.00000000,0.00007108,0.00008735
HGR,2,1200.0,1.00000000,4.14593698,12,0.00000000,0.00144933,0.00005849
HGU,10,2610.0,0.31111111,4.73327805,10,0.00057226,0.00003580,0.00088430
HHH,2,2960.0,1.00000000,4.15450525,12,0.00000000,0.00199806,0.00006134
HIB,1,714.0,0.00000000,5.04449972,13,0.00000000,0.00002460,0.00008243
HID,9,1244.0,0.19444444,4.45909342,10,0.00414059,0.00008861,0.00044057
HII,2,494.0,1.00000000,4.18601437,12,0.00000000,0.00129580,0.00005786
HIJ,14,48966.0,0.58241758,3.54477612,10,0.00011376,0.00653894,0.00043906
HIL,2,50.0,1.00000000,5.42703151,13,0.00000000,0.00000769,0.00005584
HIN,2,9792.0,1.00000000,3.83775567,11,0.00000000,0.00114159,0.00012805
HIR,19,1223.0,0.05263158,4.28441128,9,0.01128890,0.00023563,0.00118177
HIT,2,57.0,0.00000000,6.73355445,12,0.00027640,0.00000002,0.00013447
HJR,2,2618.0,0.00000000,5.09701493,12,0.00000008,0.00003825,0.00012665
HKB,1,16.0,0.00000000,4.89524599,13,0.00000000,0.00002581,0.00004333
HKD,6,26340.0,0.33333333,3.77224986,11,0.00055773,0.00289717,0.00028761
HKG,98,451676.5,0.20113612,2.84162521,10,0.04693748,0.05721846,0.00517559
HKK,1,342.0,0.00000000,4.56467662,11,0.00000000,0.00007438,0.00004880
HKN,12,2321.0,0.18181818,4.72913212,10,0.00516862,0.00003156,0.00108149
HKT,20,48340.0,0.33684211,3.31426202,10,0.00097673,0.01402968,0.00066953
HKY,1,750.5,0.00000000,4.15505804,12,0.00000000,0.00139872,0.00004656
HLD,2,835.0,1.00000000,3.99889442,11,0.00000000,0.00117096,0.00005327
HLF,2,495.0,1.00000000,4.07131012,12,0.00000000,0.00155997,0.00008898
HLH,1,170.0,0.00000000,4.99806523,12,0.00000000,0.00002010,0.00009386
HLN,6,4224.0,1.00000000,3.97042565,12,0.00000000,0.00221476,0.00009695
HLZ,5,3352.5,0.90000000,4.24903261,11,0.00000004,0.00023974,0.00011847
HME,5,1896.0,0.50000000,4.44472084,12,0.00000028,0.00110980,0.00010122
HMO,21,33576.5,0.38571429,3.63764511,11,0.00070926,0.00886403,0.00042651
HNA,5,9434.0,0.90000000,3.89690437,11,0.00000001,0.00185077,0.00011556
HNH,1,497.0,0.00000000,4.90685462,13,0.00000000,0.00002604,0.00008966
HNL,51,302226.0,0.21098039,3.11774461,10,0.03097308,0.03027695,0.00335258
HNM,2,256.0,1.00000000,4.11691542,11,0.00000000,0.00069078,0.00004372
HNS,2,1000.0,1.00000000,4.90657822,13,0.00000000,0.00002651,0.00015565
HOB,3,583.0,0.33333333,3.95854063,12,0.00002441,0.00182644,0.00008213
HOD,6,1382.0,0.86666667,3.97318961,11,0.00000014,0.00405203,0.00008135
HOF,1,605.0,0.00000000,4.13985627,11,0.00000000,0.00076022,0.00005107
HOG,9,2351.0,0.72222222,3.53841902,11,0.00055331,0.01790674,0.00011198
HOI,4,224.0,0.50000000,4.51520177,12,0.00000023,0.00009285,0.00011443
HOK,2,18.0,0.00000000,5.76423438,12,0.00027640,0.00000095,0.00009932
HOM,3,829.0,0.00000000,4.21448314,12,0.00165799,0.00027869,0.00017673
HON,1,228.0,0.00000000,5.04505252,13,0.00000000,0.00002458,0.00009384
HOQ,2,800.0,1.00000000,3.68131564,11,0.00000000,0.00353577,0.00008807
HOR,5,2076.0,0.50000000,4.24682145,12,0.00082860,0.00117721,0.00017170
HOT,2,480.0,0.00000000,3.95854063,12,0.00038081,0.00177531,0.00009024
HOU,144,654154.5,0.16336441,2.98313986,11,0.01745704,0.09628632,0.00516273
HOV,3,703.0,1.00000000,4.28468767,12,0.00000000,0.00106951,0.00007128
HPA,2,473.0,1.00000000,4.92924268,12,0.00000000,0.00002194,0.00010436
HPB,3,373.0,1.00000000,5.19513543,13,0.00000000,0.00000538,0.00018105
HPH,1,750.0,0.00000000,4.45992261,11,0.00000000,0.00019645,0.00005371
HPN,15,24389.5,0.73333333,3.67357656,12,0.00031069,0.01903931,0.00021577
HRB,21,25514.0,0.64285714,3.67910448,11,0.00001816,0.00590234,0.00032190
HRE,19,16342.5,0.25146199,3.47208402,11,0.00160981,0.01194424,0.00058610
HRG,20,10511.5,0.65263158,3.54836926,11,0.00000774,0.03186379,0.00017828
HRK,3,590.0,1.00000000,3.82200111,11,0.00000000,0.00533238,0.00005169
HRL,5,13847.0,1.00000000,3.84217800,12,0.00000000,0.00610997,0.00013254
HRO,2,384.0,0.00000000,4.94941957,13,0.00000015,0.00005615,0.00011030
HSG,3,5618.0,0.66666667,3.77501382,11,0.00000001,0.00266788,0.00008655
HSL,5,198.0,0.50000000,4.89220564,13,0.00001630,0.00003254,0.00009924
HSN,4,2961.0,0.50000000,4.56025428,11,0.00000022,0.00039447,0.00008969
HSV,10,18808.0,0.91111111,3.70508568,12,0.00000239,0.01465671,0.00016737
HSZ,2,3465.0,1.00000000,4.54118297,11,0.00000000,0.00013384,0.00007145
HTA,2,154.0,1.00000000,3.87672747,11,0.00000000,0.00212750,0.00004690
HTI,6,4329.0,0.53333333,4.15201769,10,0.00046411,0.00072069,0.00015620
HTN,1,240.0,0.00000000,4.68131564,12,0.00000000,0.00012470,0.00004746
HTR,1,133.0,0.00000000,4.76865672,12,0.00000000,0.00005657,0.00004306
HTS,3,2155.0,1.00000000,3.89662797,12,0.00000000,0.00499009,0.00005693
HUE,2,72.0,0.00000000,5.42896628,13,0.00000043,0.00000645,0.00006098
HUH,4,2706.0,1.00000000,4.51492537,12,0.00000000,0.00009306,0.00024560
HUI,2,2030.0,1.00000000,4.38474295,11,0.00000000,0.00036559,0.00007632
