Degree,PDF,CCDF
0.22413793103448276,0.0,1.0
0.6724137931034483,0.0,1.0
1.1206896551724137,0.0,1.0
1.5689655172413794,0.0,1.0
2.0172413793103448,0.0,1.0
2.4655172413793105,0.0,1.0
2.913793103448276,0.12492307692307686,0.944
3.3620689655172415,0.0,0.9440000000000001
3.810344827586207,0.3089615384615386,0.8055000000000001
4.258620689655173,0.0,0.8055000000000001
4.706896551724138,0.0,0.8054999999999997
5.155172413793103,0.4996923076923079,0.5815000000000001
5.603448275862069,0.0,0.5815000000000001
6.051724137931035,0.4863076923076916,0.36349999999999927
6.5,0.0,0.3635000000000005
6.948275862068966,0.40488461538461556,0.1820000000000005
7.396551724137931,0.0,0.1820000000000005
7.844827586206897,0.23200000000000012,0.07800000000000062
8.293103448275861,0.0,0.07799999999999874
8.741379310344827,0.0,0.0780000000000024
9.189655172413794,0.10373076923076907,0.03149999999999875
9.637931034482758,0.0,0.03149999999999875
10.086206896551724,0.050192307692307814,0.009000000000002673
10.53448275862069,0.0,0.008999999999998787
10.982758620689655,0.013384615384615363,0.0029999999999986704
11.431034482758621,0.0,0.003000000000002667
11.879310344827587,0.002230769230769227,0.0019999999999986695
12.327586206896552,0.0,0.0019999999999986695
12.775862068965518,0.0044615384615384725,2.6645352591003757e-15
